id;Tgl;Kab/Kota;Tingkat Harga;BMB;BMK;BPI;BPL;BNC;CMB;CMK;CRH;CRM;KBK;KTG;KLB;KLG;MTM;TMT;WRT;CHB
22134;24 Juni 2022;Wonosobo;Harga Produsen;0;30000;0;17000;0;0;65000;55000;80000;0;10000;0;6000;0;14000;5000;0
22205;27 Juni 2022;Wonosobo;Harga Produsen;0;30000;0;17000;0;0;65000;55000;80000;0;10000;0;6000;0;14000;5000;0
22290;28 Juni 2022;Wonosobo;Harga Produsen;0;30000;0;17000;0;0;65000;60000;84000;0;10000;0;6000;0;14000;5000;0
22356;29 Juni 2022;Wonosobo;Harga Produsen;0;30000;0;17000;0;0;0;65000;60000;0;10000;0;6000;0;14000;5000;84000
22404;30 Juni 2022;Wonosobo;Harga Produsen;0;30000;0;17000;0;0;65000;60000;84000;0;10000;0;6000;0;14000;6000;0
22589;01 Juli 2022;Wonosobo;Harga Produsen;0;30000;0;17000;0;0;65000;60000;84000;0;10000;0;6000;0;14000;6000;0
22592;04 Juli 2022;Wonosobo;Harga Produsen;0;30000;0;17000;0;0;75000;60000;84000;0;10000;0;7500;0;14000;6000;0
22718;06 Juli 2022;Wonosobo;Harga Produsen;0;30000;0;17000;0;0;85000;65000;85000;0;10000;0;7500;0;14500;7000;0
22778;07 Juli 2022;Wonosobo;Harga Produsen;0;30000;0;17000;0;0;80000;65000;80000;0;10000;0;7500;0;14500;8000;0
22781;05 Juli 2022;Wonosobo;Harga Produsen;0;30000;0;17000;0;0;75000;60000;84000;0;10000;0;7500;0;14000;6000;0
22866;08 Juli 2022;Wonosobo;Harga Produsen;0;30000;0;17000;0;0;80000;65000;80000;0;10000;0;7500;0;14500;8000;0
22962;11 Juli 2022;Wonosobo;Harga Produsen;0;30000;0;17000;0;0;80000;65000;80000;0;10000;0;7500;0;14500;8000;0
23043;12 Juli 2022;Wonosobo;Harga Produsen;0;40000;0;17000;0;0;80000;65000;80000;0;10000;0;7500;0;14500;8000;0
23125;13 Juli 2022;Wonosobo;Harga Produsen;0;40000;0;17000;0;0;80000;65000;80000;0;10000;0;7500;0;14500;8000;0
23161;14 Juli 2022;Wonosobo;Harga Produsen;0;40000;0;17000;0;0;80000;65000;80000;0;10000;0;7500;0;14500;8000;0
23190;15 Juli 2022;Wonosobo;Harga Produsen;0;40000;0;17000;0;0;75000;65000;80000;0;10000;0;7500;0;14000;8000;0
23262;18 Juli 2022;Wonosobo;Harga Produsen;0;40000;0;17000;0;0;65000;60000;55000;0;10000;0;7500;0;14000;8000;0
23324;19 Juli 2022;Wonosobo;Harga Produsen;0;40000;0;17000;0;0;55000;45000;55000;0;10000;0;5000;0;14000;10000;0
23401;20 Juli 2022;Wonosobo;Harga Produsen;0;40000;0;17000;0;0;65000;30000;55000;0;11000;0;6000;0;10000;10000;0
23426;21 Juli 2022;Wonosobo;Harga Produsen;0;40000;0;17000;0;0;70000;30000;55000;0;11000;0;6000;0;10000;10000;0
23486;22 Juli 2022;Wonosobo;Harga Produsen;0;40000;0;17000;0;0;70000;30000;55000;0;11000;0;6000;0;10000;10000;0
23573;25 Juli 2022;Wonosobo;Harga Produsen;0;24000;0;17000;0;0;60000;20000;50000;0;11000;0;6000;0;8000;9000;0
23655;26 Juli 2022;Wonosobo;Harga Produsen;0;24000;0;17000;0;0;60000;20000;50000;0;11000;0;6000;0;8000;9000;0
23737;27 Juli 2022;Wonosobo;Harga Produsen;0;24000;0;17000;0;0;60000;20000;50000;0;11000;0;6000;0;8000;9000;0
23740;28 Juli 2022;Wonosobo;Harga Produsen;0;24000;0;17000;0;0;60000;30000;50000;0;11000;0;6000;0;6000;9000;0
23829;29 Juli 2022;Wonosobo;Harga Produsen;0;24000;0;17000;0;0;60000;30000;50000;0;11000;0;6000;0;6000;9000;0
24123;01 Agustus 2022;Wonosobo;Harga Produsen;0;24000;0;17000;0;0;55000;30000;50000;0;11000;0;6000;0;6000;9000;0
24133;02 Agustus 2022;Wonosobo;Harga Produsen;0;24000;0;17000;0;0;55000;35000;50000;0;11000;0;6000;0;6000;9000;0
24363;04 Agustus 2022;Wonosobo;Harga Produsen;0;24000;0;17000;0;0;55000;30000;50000;0;11000;0;6000;0;6000;9000;0
24370;03 Agustus 2022;Wonosobo;Harga Produsen;0;24000;0;17000;0;0;55000;30000;50000;0;11000;0;6000;0;6000;9000;0
24396;05 Agustus 2022;Wonosobo;Harga Produsen;0;24000;0;17000;0;0;55000;35000;50000;0;11000;0;6000;0;6000;9000;0
24654;11 Agustus 2022;Wonosobo;Harga Produsen;0;24000;0;17000;0;0;55000;35000;45000;0;11000;0;6000;0;6000;9000;0
24804;15 Agustus 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;55000;30000;30000;0;11000;0;6000;0;5000;9000;0
24855;16 Agustus 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;55000;30000;30000;0;11000;0;6000;0;5000;9000;0
25052;22 Agustus 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;55000;30000;30000;0;11000;0;5000;0;4000;9000;0
25125;23 Agustus 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;55000;30000;30000;0;11000;0;5000;0;4000;9000;0
25283;26 Agustus 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;45000;25000;25000;0;11000;0;5000;0;4000;9000;0
25332;29 Agustus 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;45000;25000;30000;0;11000;0;5000;0;4000;9000;0
25398;30 Agustus 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;45000;25000;30000;0;11000;0;5000;0;4000;9000;0
25465;31 Agustus 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;45000;25000;30000;0;11000;0;5000;0;4000;9000;0
25493;01 September 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;55000;30000;40000;0;11000;0;5000;0;3000;9000;0
25536;02 September 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;55000;30000;40000;0;11000;0;5000;0;3000;9000;0
25592;05 September 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;60000;30000;40000;0;11000;0;5500;0;3000;9000;0
25717;06 September 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;70000;35000;40000;0;11000;0;5500;0;3000;9000;0
25790;08 September 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;70000;35000;40000;0;11000;0;5500;0;3000;9000;0
25794;07 September 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;70000;35000;40000;0;11000;0;5500;0;3000;9000;0
25836;09 September 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;67000;30000;35000;0;11000;0;5500;0;3000;9000;0
25903;12 September 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;62000;32000;35000;0;11000;0;5500;0;3000;9000;0
25966;13 September 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;62000;32000;35000;0;11000;0;5500;0;3000;9000;0
26035;14 September 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;62000;32000;35000;0;11000;0;5000;0;3000;9000;0
26045;15 September 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;58000;32000;42000;0;11000;0;2000;0;3000;9000;0
26130;16 September 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;52000;32000;40000;0;11000;0;2000;0;2000;9000;0
26227;19 September 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;55000;32000;40000;0;11000;0;2000;0;2000;9000;0
26283;20 September 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;52000;32000;45000;0;11000;0;2000;0;2000;9000;0
26332;21 September 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;57000;32000;45000;0;11000;0;2000;0;2000;9000;0
26374;22 September 2022;Wonosobo;Harga Produsen;0;17000;0;17000;0;0;57000;32000;57000;0;11000;0;2000;0;2000;9000;0
