tanggal,harga
2021-08-21,8000.0
2021-08-22,8000.0
2021-08-23,8000.0
2021-08-24,8000.0
2021-08-25,8000.0
2021-08-26,8000.0
2021-08-27,8000.0
2021-08-28,8000.0
2021-08-29,8000.0
2021-08-30,8000.0
2021-08-31,8000.0
2021-09-01,8000.0
2021-09-02,8000.0
2021-09-03,8000.0
2021-09-04,8000.0
2021-09-05,8000.0
2021-09-06,8000.0
2021-09-07,8000.0
2021-09-08,9000.0
2021-09-09,9000.0
2021-09-10,9000.0
2021-09-11,9000.0
2021-09-12,9000.0
2021-09-13,9000.0
2021-09-14,9000.0
2021-09-15,9000.0
2021-09-16,10000.0
2021-09-17,11000.0
2021-09-18,11000.0
2021-09-19,11000.0
2021-09-20,11000.0
2021-09-21,11000.0
2021-09-22,11000.0
2021-09-23,11000.0
2021-09-24,11000.0
2021-09-25,11000.0
2021-09-26,12500.0
2021-09-27,14000.0
2021-09-28,14000.0
2021-09-29,14000.0
2021-09-30,14000.0
2021-10-01,14000.0
2021-10-02,14000.0
2021-10-03,15000.0
2021-10-04,19000.0
2021-10-05,19000.0
2021-10-06,16000.0
2021-10-07,16000.0
2021-10-08,16000.0
2021-10-09,16000.0
2021-10-10,16000.0
2021-10-11,16000.0
2021-10-12,16000.0
2021-10-13,16000.0
2021-10-14,16000.0
2021-10-15,18000.0
2021-10-16,18000.0
2021-10-17,18000.0
2021-10-18,18000.0
2021-10-19,19000.0
2021-10-20,18000.0
2021-10-21,19000.0
2021-10-22,19000.0
2021-10-23,17500.0
2021-10-24,18000.0
2021-10-25,19000.0
2021-10-26,19000.0
2021-10-27,19000.0
2021-10-28,19000.0
2021-10-29,18000.0
2021-10-30,17500.0
2021-10-31,17000.0
2021-11-01,17000.0
2021-11-02,15000.0
2021-11-03,15000.0
2021-11-04,15000.0
2021-11-05,15000.0
2021-11-06,15000.0
2021-11-07,15000.0
2021-11-08,15000.0
2021-11-09,15000.0
2021-11-10,15000.0
2021-11-11,15000.0
2021-11-12,15000.0
2021-11-13,15000.0
2021-11-14,15000.0
2021-11-15,15000.0
2021-11-16,15000.0
2021-11-17,15000.0
2021-11-18,15000.0
2021-11-19,15000.0
2021-11-20,15000.0
2021-11-21,17000.0
2021-11-22,19000.0
2021-11-23,19000.0
2021-11-24,19000.0
2021-11-25,19000.0
2021-11-26,19000.0
2021-11-27,19000.0
2021-11-28,20500.0
2021-11-29,22000.0
2021-11-30,28000.0
2021-12-01,32000.0
2021-12-02,32000.0
2021-12-03,32000.0
2021-12-04,32000.0
2021-12-05,41000.0
2021-12-06,50000.0
2021-12-07,50000.0
2021-12-08,50000.0
2021-12-09,50000.0
2021-12-10,50000.0
2021-12-11,50000.0
2021-12-12,50000.0
2021-12-13,50000.0
2021-12-14,65000.0
2021-12-15,65000.0
2021-12-16,65000.0
2021-12-17,65000.0
2021-12-18,65000.0
2021-12-19,65000.0
2021-12-20,65000.0
2021-12-21,65000.0
2021-12-22,70000.0
2021-12-23,70000.0
2021-12-24,70000.0
2021-12-25,65000.0
2021-12-26,65000.0
2021-12-27,70000.0
2021-12-28,70000.0
2021-12-29,70000.0
2021-12-30,70000.0
2021-12-31,70000.0
2022-01-01,65000.0
2022-01-02,60000.0
2022-01-03,55000.0
2022-01-04,55000.0
2022-01-05,55000.0
2022-01-06,50000.0
2022-01-07,50000.0
2022-01-08,50000.0
2022-01-09,40000.0
2022-01-10,30000.0
2022-01-11,30000.0
2022-01-12,30000.0
2022-01-13,30000.0
2022-01-14,30000.0
2022-01-15,30000.0
2022-01-16,30000.0
2022-01-17,30000.0
2022-01-18,30000.0
2022-01-19,30000.0
2022-01-20,30000.0
2022-01-21,30000.0
2022-01-22,30000.0
2022-01-23,30000.0
2022-01-24,17000.0
2022-01-25,17000.0
2022-01-26,15000.0
2022-01-27,15000.0
2022-01-28,17000.0
2022-01-29,21000.0
2022-01-30,17000.0
2022-01-31,17000.0
2022-02-01,25000.0
2022-02-02,17000.0
2022-02-03,17000.0
2022-02-04,16000.0
2022-02-05,21000.0
2022-02-06,17000.0
2022-02-07,16000.0
2022-02-08,25000.0
2022-02-09,25000.0
2022-02-10,25000.0
2022-02-11,25000.0
2022-02-12,25000.0
2022-02-13,25000.0
2022-02-14,25000.0
2022-02-15,25000.0
2022-02-16,26000.0
2022-02-17,26000.0
2022-02-18,26000.0
2022-02-19,26000.0
2022-02-20,26000.0
2022-02-21,26000.0
2022-02-22,26000.0
2022-02-23,26000.0
2022-02-24,26000.0
2022-02-25,30000.0
2022-02-26,26000.0
2022-02-27,28000.0
2022-02-28,30000.0
2022-03-01,37000.0
2022-03-02,37000.0
2022-03-03,37000.0
2022-03-04,37000.0
2022-03-05,37000.0
2022-03-06,38500.0
2022-03-07,55000.0
2022-03-08,55000.0
2022-03-09,55000.0
2022-03-10,40000.0
2022-03-11,40000.0
2022-03-12,37000.0
2022-03-13,38500.0
2022-03-14,35000.0
2022-03-15,40000.0
2022-03-16,40000.0
2022-03-17,40000.0
2022-03-18,40000.0
2022-03-19,35000.0
2022-03-20,34000.0
2022-03-21,33000.0
2022-03-22,33000.0
2022-03-23,33000.0
2022-03-24,33000.0
2022-03-25,33000.0
2022-03-26,33000.0
2022-03-27,33000.0
2022-03-28,33000.0
2022-03-29,26000.0
2022-03-30,26000.0
2022-03-31,26000.0
2022-04-01,28000.0
2022-04-02,32000.0
2022-04-03,32000.0
2022-04-04,32000.0
2022-04-05,32000.0
2022-04-06,32000.0
2022-04-07,32000.0
2022-04-08,32000.0
2022-04-09,27000.0
2022-04-10,26000.0
2022-04-11,28000.0
2022-04-12,28000.0
2022-04-13,15000.0
2022-04-14,15000.0
2022-04-15,25000.0
